iter	Passed	Remaining
0	0	98
1	1	91
2	2	88
3	3	82
4	4	81
5	5	80
6	5	78
7	6	77
8	7	76
9	8	76
10	9	75
11	10	74
12	11	74
13	11	73
14	12	72
15	13	72
16	14	71
17	15	70
18	16	69
19	17	69
20	18	68
21	18	66
22	19	65
23	20	64
24	20	62
25	21	60
26	21	59
27	22	58
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	50
34	26	49
35	27	48
36	27	47
37	28	46
38	28	45
39	29	44
40	29	43
41	30	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	36
47	33	36
48	33	35
49	34	34
50	34	33
51	35	32
52	35	31
53	36	30
54	36	30
55	37	29
56	38	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	45	21
68	46	20
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	15
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	61	5
92	62	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
