iter	Passed	Remaining
0	47	47282
1	48	24180
2	49	16441
3	50	12578
4	51	10263
5	52	8718
6	54	7799
7	55	6894
8	56	6185
9	56	5642
10	57	5185
11	58	4803
12	58	4470
13	59	4185
14	59	3936
15	60	3717
16	61	3533
17	62	3387
18	63	3256
19	64	3138
20	65	3031
21	66	2938
22	67	2847
23	67	2752
24	68	2674
25	69	2598
26	70	2523
27	70	2452
28	72	2417
29	73	2362
30	74	2313
31	74	2256
32	75	2200
33	75	2148
34	76	2098
35	76	2051
36	77	2007
37	77	1966
38	78	1926
39	78	1889
40	79	1852
41	79	1818
42	80	1791
43	81	1768
44	82	1741
45	83	1721
46	83	1697
47	86	1706
48	87	1707
49	89	1697
50	91	1702
51	92	1679
52	92	1655
53	93	1632
54	93	1611
55	94	1592
56	94	1571
57	95	1552
58	96	1533
59	96	1514
60	97	1496
61	98	1485
62	98	1467
63	99	1451
64	99	1434
65	100	1423
66	101	1408
67	101	1393
68	102	1378
69	102	1366
70	103	1352
71	103	1338
72	104	1325
73	104	1312
74	105	1299
75	105	1287
76	106	1274
77	106	1262
78	107	1250
79	107	1239
80	108	1228
81	108	1217
82	109	1204
83	109	1194
84	110	1185
85	111	1180
86	111	1174
87	112	1164
88	113	1159
89	113	1149
90	114	1141
91	114	1133
92	115	1124
93	115	1116
94	116	1107
95	116	1099
96	117	1091
97	117	1083
98	118	1075
99	118	1068
100	119	1061
101	119	1053
102	120	1046
103	120	1039
104	121	1032
105	121	1025
106	122	1019
107	122	1012
108	123	1006
109	123	1000
110	124	994
111	124	988
112	125	985
113	126	981
114	126	976
115	127	972
116	128	966
117	128	960
118	129	955
119	129	950
120	130	946
121	130	940
122	131	936
123	131	931
124	132	927
125	133	923
126	133	917
127	134	913
128	134	909
129	135	905
130	136	902
131	136	899
132	137	896
133	138	895
134	139	892
135	140	892
136	141	890
137	141	886
138	142	884
139	143	882
140	144	881
141	145	876
142	145	872
143	146	869
144	148	873
145	148	870
146	149	867
147	150	864
148	150	862
149	151	859
150	152	856
151	153	853
152	153	851
153	154	849
154	162	888
155	164	889
156	165	886
157	165	882
158	166	878
159	166	874
160	166	869
161	167	866
162	167	862
163	168	859
164	169	855
165	169	852
166	170	852
167	171	849
168	172	845
169	172	842
170	173	840
171	173	837
172	174	834
173	174	830
174	175	827
175	175	823
176	176	820
177	177	817
178	177	814
179	177	810
180	178	807
181	178	804
182	179	801
183	180	798
184	180	795
185	180	791
186	181	788
187	181	785
188	182	783
189	182	780
190	183	778
191	184	777
192	185	777
193	186	776
194	187	775
195	188	773
196	189	771
197	189	769
198	190	766
199	191	764
200	191	761
201	192	758
202	192	756
203	193	753
204	193	750
205	194	748
206	194	745
207	195	743
208	195	741
209	196	740
210	197	739
211	198	737
212	199	737
213	201	738
214	202	737
215	203	737
216	203	735
217	204	733
218	204	730
219	205	728
220	205	725
221	206	723
222	206	721
223	207	718
224	207	716
225	208	713
226	208	711
227	209	709
228	210	707
229	210	704
230	211	702
231	211	700
232	212	698
233	212	696
234	213	694
235	213	692
236	214	689
237	215	688
238	215	686
239	215	683
240	216	681
241	217	680
242	217	678
243	218	676
244	218	674
245	219	671
246	219	669
247	220	667
248	220	665
249	221	663
250	221	661
251	222	660
252	222	658
253	223	655
254	223	654
255	224	652
256	224	650
257	225	648
258	226	646
259	226	644
260	230	652
261	231	650
262	231	649
263	233	651
264	234	649
265	236	653
266	239	657
267	240	656
268	242	659
269	245	663
270	246	661
271	246	659
272	247	658
273	248	657
274	249	656
275	249	654
276	250	652
277	250	650
278	254	657
279	255	656
280	255	654
281	256	652
282	256	650
283	258	652
284	260	652
285	260	651
286	265	659
287	266	658
288	266	656
289	267	654
290	268	653
291	268	652
292	269	651
293	270	649
294	272	650
295	276	658
296	277	656
297	277	654
298	279	656
299	280	654
300	281	652
301	281	650
302	282	648
303	282	646
304	283	645
305	283	643
306	284	641
307	284	639
308	285	638
309	285	636
310	286	634
311	286	632
312	287	630
313	287	629
314	290	630
315	290	629
316	291	628
317	293	628
318	295	629
319	296	629
320	296	627
321	297	626
322	297	624
323	298	622
324	298	620
325	299	619
326	299	617
327	300	615
328	301	613
329	301	612
330	302	610
331	302	608
332	303	607
333	303	605
334	304	604
335	308	609
336	309	608
337	309	606
338	310	604
339	310	603
340	311	601
341	311	599
342	312	598
343	312	596
344	313	594
345	313	593
346	314	591
347	314	589
348	317	592
349	319	593
350	322	595
351	323	594
352	323	593
353	324	592
354	329	598
355	331	600
356	332	599
357	333	598
358	334	597
359	335	596
360	340	601
361	343	604
362	344	603
363	345	603
364	347	604
365	347	602
366	350	604
367	354	609
368	355	608
369	356	607
370	358	608
371	359	606
372	362	609
373	363	607
374	363	606
375	364	604
376	365	603
377	365	601
378	366	600
379	366	598
380	367	596
381	367	595
382	368	593
383	369	592
384	369	590
385	370	589
386	371	587
387	371	586
388	372	584
389	372	582
390	373	581
391	373	579
392	374	578
393	374	576
394	375	574
395	375	573
396	376	571
397	376	569
398	378	570
399	379	569
400	379	567
401	380	565
402	381	564
403	381	562
404	382	561
405	382	559
406	383	558
407	383	557
408	384	555
409	385	554
410	385	552
411	385	550
412	386	549
413	386	547
414	387	546
415	387	544
416	389	544
417	390	543
418	390	541
419	391	540
420	391	538
421	392	537
422	393	536
423	395	537
424	396	536
425	402	542
426	404	542
427	404	540
428	405	539
429	406	538
430	406	536
431	407	535
432	407	533
433	408	532
434	409	531
435	412	533
436	414	534
437	415	532
438	415	531
439	416	529
440	417	529
441	418	528
442	419	527
443	420	526
444	421	525
445	422	524
446	424	525
447	425	524
448	425	522
449	426	521
450	428	521
451	429	520
452	432	522
453	433	521
454	434	520
455	435	519
456	436	518
457	437	518
458	440	518
459	440	517
460	441	516
461	442	514
462	442	513
463	443	511
